claim_id,claim_amount,claim_date,claim_type,claim_description,policy_premium,policy_tenure_days,coverage_limit,deductible,policy_start_date,customer_id,age,occupation,location,num_prior_claims,days_to_report,report_date,documentation_quality,witness_available,police_report_filed,phone_number,repair_shop,shared_address,shared_phone,suspicious_repair_shop,linked_claims,is_fraud,claim_to_premium_ratio,claim_to_coverage_ratio,early_claim,high_claim_history
260892d6-f840-46f2-af0e-ebef97e89057,25711.28,2024-03-04,Collision,Highway collision,706.05,507,50000,5000,2024-02-07,56a701ab-a66c-4f43-83f3-8f4efaf36aec,70,Salesperson,"266 Sara Court
Terriburgh, AR 15881",2,0,2024-03-04,3,False,False,001-269-399-3867x74964,Shop_3,False,True,True,3,True,36.41566461298775,0.5142256,0,0
fa3aaaff-2ecb-4f5f-9fab-889298a69b07,16722.54,2024-11-10,Personal Injury,Slip and fall,703.31,2677,250000,1000,2018-02-28,38e18a48-5741-4420-8b5d-30339095376e,36,Nurse,"56035 Shaw Estate
Matthewville, VT 67816",1,1,2024-11-11,10,True,True,001-433-377-1643x75137,Shop_17,False,False,False,1,False,23.77691203025693,0.06689016,0,0
f1d6c468-a189-4042-bfb9-aead9cc33afa,25000.0,2025-04-03,Fire,Arson,2290.91,2130,25000,1000,2019-08-29,8794244b-130d-47e1-b8df-e18499d7ee23,26,Salesperson,"25014 Austin Rest
South Jenniferburgh, TX 10631",0,1,2025-04-04,7,True,True,938.229.8274x33330,Shop_18,False,False,False,1,False,10.912694082264254,1.0,0,0
b3997b7e-eb74-4d0d-a6c2-325b0d28f5e4,36221.56,2023-10-03,Theft,Break-in theft,1225.53,1473,50000,250,2021-06-16,f373057b-7bbf-4c61-a344-7f1d4efe5cf1,49,Teacher,"444 Larry Pass
North Teresa, ME 08875",0,14,2023-10-17,8,False,True,323-750-3687,Shop_18,False,False,False,0,False,29.555832986544594,0.7244311999999999,0,0
7fe99b4f-ca7a-45f3-bdac-b37176949bb0,17419.62,2024-09-01,Theft,Vehicle stolen from parking lot,2182.87,711,500000,2500,2023-07-18,e7b0e27d-244b-405a-ad7c-b20d1bb868d5,18,Lawyer,"26480 Ryan Haven Apt. 373
Marilynfurt, NJ 70517",2,1,2024-09-02,9,True,True,+1-682-821-0217x98213,Shop_13,False,False,False,0,False,7.98014540490272,0.03483924,0,0
ba6d4129-2c4e-482a-9d76-e58c02dc30fa,13390.79,2021-04-14,Collision,Intersection accident,1981.78,2743,100000,5000,2017-12-24,7a420c93-ed3d-44bb-831d-86a9e40074ce,49,Engineer,"1908 Meyer Dale
Smithburgh, KY 92607",0,1,2021-04-15,8,True,True,+1-319-347-6983x3282,Shop_13,False,False,False,0,False,6.756950821988314,0.1339079,0,0
51db41ea-216f-4c1c-be82-80afec51c6f8,36699.37,2018-09-02,Bodily Injury,Whiplash from collision,584.35,3057,500000,1000,2017-02-13,8cf1604e-902d-45e4-b73c-3d8c49c4b723,54,Office Manager,"34012 Rhonda Orchard
Graveshaven, IL 94951",0,1,2018-09-03,8,True,True,+1-237-382-2596x35873,Shop_11,False,False,False,0,False,62.80374775391461,0.07339874,0,0
0b8a48fb-3d5f-4707-a659-185b0ec937c6,15993.32,2023-11-24,Property Damage,Vandalism to vehicle,4051.79,2002,500000,500,2020-01-04,52c8627c-bf35-42d4-a861-d243652365bf,21,Office Manager,"771 Tiffany Harbor Apt. 450
Romeroborough, NY 05819",0,14,2023-12-08,10,True,False,899.764.6924x34354,Shop_18,False,False,False,0,False,3.947223325986786,0.03198664,0,0
4265c969-e2c2-42fe-aed7-4232eed8f8e4,16409.83,2020-02-25,Fire,Arson,4165.69,2321,50000,1000,2019-02-19,83d7f711-0bfb-46ba-9a13-1617cb2f1c11,75,Accountant,"73215 Mcintosh Lodge Apt. 169
East Megan, TX 56125",3,1,2020-02-26,8,True,True,001-431-870-3466x520,Shop_13,False,False,False,0,False,3.939282567833901,0.32819660000000006,0,1
348b046c-46cd-4a5f-8fe1-6859d3c22c2e,25000.0,2023-05-09,Fire,Arson,4688.99,1524,25000,2500,2021-04-26,9e4bcf08-285c-4cca-91e5-04441d1146ee,61,Nurse,"17706 Nguyen Coves Suite 904
Amystad, TN 18012",1,2,2023-05-11,9,False,True,(240)806-2174x881,Shop_13,False,False,False,0,False,5.3316385831490365,1.0,0,0
